goal_id,part,priority,owner,estimate_focused_hours,dependencies,observable_goal,linked_requirement_ids,acceptance_description,claim_limit,implementation_status
G21,5,Core,Lead/workflow agent,1.25-2.5,G01 G03,Request to approved local allocation,RFP-001 RFP-009 RFP-053 RFP-054 RFP-059 RFP-060 RFP-080,"Request one reviewed candidate from one fixed IPv4 pool without reserving it. Approval atomically rechecks reviewed pool/baseline version and eligibility, persists that exact allocation and success audit once; rejection leaves inventory unchanged; conflicts and changed versions fail visibly.","Real local allocation over synthetic data; downstream provisioning remains simulated. Fixed workflow, not full lifecycle framework.",Not built or verified
G22,5,Core,Lead/workflow agent,0.5-1.25,G21,Controlled approval and audit,RFP-004 RFP-005 RFP-060 RFP-078 RFP-084,Two explicit local demo actors/roles are checked by the server; unauthorized decisions and self-approval fail visibly; record actor/time/reason/before-and-after and failed outcomes. Failure records survive transaction rollback; presenter may switch demo actors.,"Demo identity only; not SSO, enterprise granular RBAC, all access logging or compliance.",Not built or verified
G23,5,Stretch,Lead/workflow agent,1.5-3,G11 G21 G22,Approved correction and reconciliation rerun,RFP-043 RFP-057 RFP-070 RFP-084,"Approve a version-bound inventory correction, commit the local change, rerun the actual rule and show resolved or still-open result plus audit.",Local correction is not automatic live network reclamation or remediation.,Not built or verified
G24,5,Stretch,Lead/workflow agent,3-6,G21 G22,Configurable lifecycle rules,RFP-001 RFP-059 RFP-080 RFP-111,"An administrator can define at least two permitted state transitions and the server enforces them, retaining audit and visible rejected transitions.",Likely post-Monday: do not smuggle a workflow designer into the core.,Not built or verified
G25,5,Stretch,Lead/UI agent,0.75-1.5,G18 G22,In-app exception and escalation queue,RFP-072 RFP-081 RFP-082,Assign an exception owner/reason/status in-app and retain decision history; show a discrepancy notification in the application.,No external notifications or real cross-team operating process.,Not built or verified
G26,6,Core,Spencer,1-2,G03; provisional runtime contract,Portable application startup,RFP-090 RFP-091,"A documented build/run path serves the compiled dashboard and API in one application service, with pinned dependencies and no paid/cloud runtime dependency.",Packaging only illustrates deployment; no production IPAM/orchestration platform claim.,Not built or verified
G27,6,Core,Spencer,1-2,G05 G26,"Persistence, reset and backup/restore",RFP-018,"Document and implement external writable data location, explicit synthetic reset, and consistent backup/restore; preserve persisted allocation/audit records across restart.",Local database backup only; no RPO/RTO/DR commitment.,Not built or verified
G28,6,Core,Spencer,0.5-1,G06 G26,Local health and failure diagnostics,RFP-022,Startup/health view reports application/data readiness and source freshness; failed imports or unavailable data remain visible with actionable messages.,Local health behavior is not a production monitoring/alerting service.,Not built or verified
G29,6,Stretch,Spencer,0.75-2,G26 G27; explicit runtime permission,Second supported host handoff,RFP-023 RFP-024 RFP-090,Run the same supported artifact on a second declared CPU host and record startup/persistence outcome and exact limits.,Second-host portability does not prove hybrid-cloud integration or management of containerized networks.,Not built or verified
G30,6,Core,Spencer,0.5-1,G26 G27 G28,Self-contained operator and agent handoff,RFP-092 RFP-102 RFP-104 RFP-106,"README covers supported host, dependencies/licenses, startup, data location, backup/restore/reset, failure notes and where the next agent resumes.",Developer/operator handoff; not an established training or knowledge-transfer program. No presentation assignment.,Not built or verified
