requirement_id,prior_feasibility_class,primary_work_part,linked_demo_goals,evidence_status,accounting_rule
RFP-050,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-051,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-052,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-053,working_demo_candidate,5,G21,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-054,working_demo_candidate,5,G21,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-055,simulated_integration_or_partial,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-056,simulated_integration_or_partial,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-057,working_demo_candidate,5,G23,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-058,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-059,working_demo_candidate,5,G21 G24,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-060,working_demo_candidate,5,G21 G22,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-061,simulated_integration_or_partial,"2,3",G06 G15,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-062,working_demo_candidate,"2,3",G07 G14 G15,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-063,working_demo_candidate,"2,3",G05 G06 G11 G12 G13 G15,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-064,working_demo_candidate,3,G14,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-065,working_demo_candidate,3,G10 G15,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-066,working_demo_candidate,3,G11 G12,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-067,simulated_integration_or_partial,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-068,simulated_integration_or_partial,3,G16,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-069,working_demo_candidate,"3,4",G13 G16 G18 G20,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-070,simulated_integration_or_partial,5,G23,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-071,working_demo_candidate,3,G16,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-072,working_demo_candidate,5,G25,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-073,working_demo_candidate,"3,4",G09 G17 G18,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-074,simulated_integration_or_partial,"3,4",G09 G17,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-075,working_demo_candidate,"3,4",G10 G18,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-076,working_demo_candidate,"3,4",G09 G17 G18 G20,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-077,working_demo_candidate,4,G18 G20,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-078,working_demo_candidate,"4,5",G20 G22,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-079,business_evidence_or_process,2,G08,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-080,working_demo_candidate,5,G21 G24,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-081,simulated_integration_or_partial,5,G25,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-082,working_demo_candidate,5,G25,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-083,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-084,working_demo_candidate,5,G22 G23,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-085,working_demo_candidate,3,G14,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-086,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-087,working_demo_candidate,2,G07,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-088,simulated_integration_or_partial,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-089,working_demo_candidate,2,G07,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-090,simulated_integration_or_partial,6,G26 G29,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-091,simulated_integration_or_partial,6,G26,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-092,business_evidence_or_process,6,G30,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-093,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-094,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-095,simulated_integration_or_partial,4,G19,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-096,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-097,enterprise_deferred,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-098,simulated_integration_or_partial,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-099,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-100,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-101,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-102,business_evidence_or_process,6,G30,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-103,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-104,business_evidence_or_process,6,G30,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-105,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-106,business_evidence_or_process,6,G30,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-107,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-108,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-109,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-110,business_evidence_or_process,,,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
RFP-111,working_demo_candidate,5,G24,Not built or verified,Linked goals demonstrate bounded behavior only; no whole-row compliance credit without complete evidence
