Requirement,Sanitized topic,Category,Accounting workbook,Accepted repository baseline,Post-meeting answer,Interpretation,Spec capability,Decision state,Task gate,Evidence gate,Post source locator,Accounting locator,Baseline locator,Delivery disposition
RFP-032,Governance,Delivery,Documentary,Documentary,Documentary,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E34,S2: Requirement Detail!E36,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-033,Normalization,Application,Partial,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-002,Agent-resolved Q001-Q100; lead adoption pending,T008 T009 T010 T022 T025,FR-002 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E35,S2: Requirement Detail!E37,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A build immutable assessment; no cutover
RFP-034,Duplicate inputs,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-002,Agent-resolved Q001-Q100; lead adoption pending,T008 T009 T010 T022 T025,FR-002 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E36,S2: Requirement Detail!E38,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A build immutable assessment; no cutover
RFP-035,IPv6 planning,Application,Partial,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-008,Agent-resolved Q001-Q100; lead adoption pending,T016 T018 T025 T039 T040,FR-008 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E37,S2: Requirement Detail!E39,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A preserve metrics/current holds; B prefix UI
RFP-036,Source discovery,Integration,Partial,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-002,Agent-resolved Q001-Q100; lead adoption pending,T008 T009 T010 T022 T025,FR-002 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E38,S2: Requirement Detail!E40,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A build immutable assessment; no cutover
RFP-037,Data quality,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-002,Agent-resolved Q001-Q100; lead adoption pending,T008 T009 T010 T022 T025,FR-002 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E39,S2: Requirement Detail!E41,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A build immutable assessment; no cutover
RFP-038,Workflow documentation,Delivery,Documentary,Documentary,Documentary,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E40,S2: Requirement Detail!E42,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-039,Integration inventory,Delivery,Documentary,Documentary,Documentary,Unchanged label; retain existing evidence limits,FR-009,Agent-resolved Q001-Q100; lead adoption pending,T005 T009 T012 T014 T017 T020 T021 T024 T025,FR-009 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E41,S2: Requirement Detail!E43,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A local API/offline pack; other interfaces documented
RFP-040,Maturity assessment,Delivery,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E42,S2: Requirement Detail!E44,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-041,CMDB,Integration,Missing,Missing,Missing,Unchanged label; retain existing evidence limits,FR-009,Agent-resolved Q001-Q100; lead adoption pending,T005 T009 T012 T014 T017 T020 T021 T024 T025,FR-009 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E43,S2: Requirement Detail!E45,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A local API/offline pack; other interfaces documented
RFP-042,Ticketing,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-004,Agent-resolved Q001-Q100; lead adoption pending,T013 T014 T015 T020 T025 T029 T031 T032 T033,FR-004 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E44,S2: Requirement Detail!E46,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A simulated ticket; B service-reference reassignment; live deferred
RFP-043,Event trigger,Application,Missing,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-011,Agent-resolved Q001-Q100; lead adoption pending,T013 T014 T020 T025,FR-011 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E45,S2: Requirement Detail!E47,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A closed local events/manual simulator delivery
RFP-044,Element systems,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-010,Agent-resolved Q001-Q100; lead adoption pending,T002 T019 T020,FR-010 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E46,S2: Requirement Detail!E48,S3: docs/QUESTIONNAIRE_ROW_MAP.md,C future read-only vendor/EMS contract; no implementation
RFP-045,Access-network system,Integration,Missing,Missing,Missing,Unchanged label; retain existing evidence limits,FR-010,Agent-resolved Q001-Q100; lead adoption pending,T002 T019 T020,FR-010 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E47,S2: Requirement Detail!E49,S3: docs/QUESTIONNAIRE_ROW_MAP.md,C future read-only vendor/EMS contract; no implementation
RFP-046,OSS/BSS,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-009,Agent-resolved Q001-Q100; lead adoption pending,T005 T009 T012 T014 T017 T020 T021 T024 T025,FR-009 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E48,S2: Requirement Detail!E50,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A local API/offline pack; other interfaces documented
RFP-047,Provisioning,Integration,Missing,Missing,Missing,Unchanged label; retain existing evidence limits,FR-004,Agent-resolved Q001-Q100; lead adoption pending,T013 T014 T015 T020 T025 T029 T031 T032 T033,FR-004 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E49,S2: Requirement Detail!E51,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A simulated ticket; B service-reference reassignment; live deferred
RFP-048,Enterprise directory,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-015,Agent-resolved Q001-Q100; lead adoption pending,T004 T005 T006 T007 T021 T025,FR-015 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E50,S2: Requirement Detail!E52,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A token principal; enterprise providers deferred
RFP-049,Single sign-on,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-015,Agent-resolved Q001-Q100; lead adoption pending,T004 T005 T006 T007 T021 T025,FR-015 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E51,S2: Requirement Detail!E53,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A token principal; enterprise providers deferred
RFP-050,LDAP,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-015,Agent-resolved Q001-Q100; lead adoption pending,T004 T005 T006 T007 T021 T025,FR-015 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E52,S2: Requirement Detail!E54,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A token principal; enterprise providers deferred
RFP-051,Certificate API auth,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-015,Agent-resolved Q001-Q100; lead adoption pending,T004 T005 T006 T007 T021 T025,FR-015 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E53,S2: Requirement Detail!E55,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A token principal; enterprise providers deferred
RFP-052,Service credentials,Integration,Missing,Missing,Missing,Unchanged label; retain existing evidence limits,FR-015,Agent-resolved Q001-Q100; lead adoption pending,T004 T005 T006 T007 T021 T025,FR-015 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E54,S2: Requirement Detail!E56,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A token principal; enterprise providers deferred
RFP-053,Allocation/reservation,Application,Partial,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-003,Agent-resolved Q001-Q100; lead adoption pending,T003 T011 T012 T015 T016 T017 T025 T029 T030 T031 T032 T033,FR-003 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E55,S2: Requirement Detail!E57,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A reservation/allocation/unused release; B allocated reclaim/reuse
RFP-054,Assignment policy,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-014,Agent-resolved Q001-Q100; lead adoption pending,T002 T008 T011 T019 T022,FR-014 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E56,S2: Requirement Detail!E58,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A fixed mappings/policy and documentary gap assessment
RFP-055,DNS changes,Integration,Missing,Missing,Missing,Unchanged label; retain existing evidence limits,FR-012,Agent-resolved Q001-Q100; lead adoption pending,T005 T019 T020 T021,FR-012 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E57,S2: Requirement Detail!E59,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A existing IPAM export; C DNS parser/live/write
RFP-056,DHCP changes,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-007,Agent-resolved Q001-Q100; lead adoption pending,T018 T020 T034 T035 T036 T037 T038 T040,FR-007 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E58,S2: Requirement Detail!E60,S3: docs/QUESTIONNAIRE_ROW_MAP.md,Existing evidence retained; B synthetic DHCP; live deferred
RFP-057,Reclaim execution,Application,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-003,Agent-resolved Q001-Q100; lead adoption pending,T003 T011 T012 T015 T016 T017 T025 T029 T030 T031 T032 T033,FR-003 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E59,S2: Requirement Detail!E61,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A reservation/allocation/unused release; B allocated reclaim/reuse
RFP-058,Infrastructure integration,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-022,Agent-resolved Q001-Q100; lead adoption pending,T019,FR-022 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E60,S2: Requirement Detail!E62,S3: docs/QUESTIONNAIRE_ROW_MAP.md,C fixed-state boundary documented; workflow designer/IaC deferred
RFP-059,Lifecycle framework,Application,Partial,Partial,Demonstrated,Future/meeting classification; not new runtime evidence,FR-003,Agent-resolved Q001-Q100; lead adoption pending,T003 T011 T012 T015 T016 T017 T025 T029 T030 T031 T032 T033,FR-003 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E61,S2: Requirement Detail!E63,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A reservation/allocation/unused release; B allocated reclaim/reuse
RFP-060,Approval flow,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-004,Agent-resolved Q001-Q100; lead adoption pending,T013 T014 T015 T020 T025 T029 T031 T032 T033,FR-004 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E62,S2: Requirement Detail!E64,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A simulated ticket; B service-reference reassignment; live deferred
RFP-061,Continuous discovery,Integration,Missing,Missing,Demonstrated,Future/meeting classification; not new runtime evidence,FR-013,Agent-resolved Q001-Q100; lead adoption pending,T005 T018 T025,FR-013 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E63,S2: Requirement Detail!E65,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A preserve evidence/unknown semantics; no new collector
RFP-062,Validation,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-013,Agent-resolved Q001-Q100; lead adoption pending,T005 T018 T025,FR-013 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E64,S2: Requirement Detail!E66,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A preserve evidence/unknown semantics; no new collector
RFP-063,Reconciliation,Application,Demonstrated,Demonstrated,Demonstrated,Unchanged label; retain existing evidence limits,FR-013,Agent-resolved Q001-Q100; lead adoption pending,T005 T018 T025,FR-013 clause-level gate and assigned task evidence; current baseline unchanged; future runtime/human/live proof remains unobserved,S1: Technical Requirements!E65,S2: Requirement Detail!E67,S3: docs/QUESTIONNAIRE_ROW_MAP.md,A preserve evidence/unknown semantics; no new collector
