id,phase,story,parallel,tier,owner,dependencies,requirements,files,description,contracts,completion_gate,evidence,spawn_condition,non_claims,escalation,handoff
T011,US2,US2,False,A,DeepSeek backend under Terra,T009,FR-003 FR-014,backend/ipam_demo/lifecycle.py;backend/ipam_demo/workflow.py,"Implement exact local IPv4 reservation/extension/conversion/independent unused release: default24h/max168h, positive version, reserved/converted/released; immediate transaction checks both hold tables and eligible claims, matching owner/service and lineage, pool/baseline bump not denominator history.",C-A C-L,"No double hold, substitution, self-approval or free-on-expiry; local cancellation distinct from reclaim.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T012,US2,US2,False,A,Muse 1.3 high in OpenCode,T011,FR-003 FR-005 FR-009,backend/ipam_demo/app.py;backend/ipam_demo/models.py,Expose C-L reservation/create/extend/release-request/decision and optional reservation_id allocation API; derive principal/domain and audit in existing write boundary.,C-A C-L,Exact versions and supported authority checked; unsupported pool/family/action refused.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T013,US2,US2,False,A,Opus 5.5 high in Claude Code,T011,FR-004 FR-009 FR-011,backend/ipam_demo/ticket_handoff.py;backend/ipam_demo/workflow.py,"Persist request+intent atomically and independent durable simulator effect/attempt/readback. Fixed route revision, unique correlation/digest, three total manual attempts with ordinal reserved before effect, five-second observation budget; no provisioning simulator. Zero-attempt route reassignment preserves logical intent/digest/correlation and returns to pending after valid reviewed routing; attempted routes cannot change in Tier A.",C-A C-T,Effect-committed/response-lost recovers via same correlation; no duplicate or budget reset.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T014,US2,US2,False,A,GPT-6 Luna high in Codex,T012 T013,FR-004 FR-005 FR-009 FR-011,backend/ipam_demo/app.py;backend/ipam_demo/models.py,"Expose C-T handoff list/detail/attempt/readback/simulated acknowledgement; local approval independent of routing/delivery; disable new attempts without losing history, legacy downstream status historical only. Include operator zero-attempt reassignment, exact-version/key refusal and immutable attempted route history.",C-A C-T,Unknown never success; no ticket approval grants local authority; old requests not tracked.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T015,US2,US2,True,A,Muse 1.3 high in OpenCode,T010 T014,FR-003 FR-004 FR-019,frontend/src/Workflow.tsx;frontend/src/workflowApi.ts,"Show reservation/decisions and independent local/ticket states, correlation/attempt cap/unknown lookup/simulated receipt; provisioning unsupported/not requested.",C-A C-L C-T,Complete allocation and unused release path; downstream failure preserves visible local state.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T016,US3,US3,False,A,GPT-6 Luna high in Codex,T013,FR-003 FR-006 FR-008,backend/ipam_demo/lifecycle.py;backend/ipam_demo/workflow.py,"Implement UTC reservation episodes/evaluate/ack: due alert, due+24h alarm, no auto-free; resolve on extension/conversion/release; preserve finding clearance and historical metrics, expose current active-hold occupancy separately.",C-L,"One due episode, ack not clearance, no forged finding IDs or saved-run rewriting.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T017,US3,US3,False,A,Opus 5.5 high in Claude Code,T014 T016,FR-003 FR-006 FR-008,backend/ipam_demo/app.py;backend/ipam_demo/models.py,"Integrate bounded evaluate/notice/current static occupancy endpoints with protected UTC/config context; timer default off, no new monitor/retry service.",C-A C-L,All new reads/actions scoped and authority bounded.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T016A,US3,US3,False,A,Muse1.3 high in OpenCode,T017,FR-005 FR-006 FR-009 FR-016,backend/ipam_demo/access.py;backend/ipam_demo/store.py;backend/ipam_demo/schema_v7.sql,Reviewed recipient configuration and recognized schema7 immutable notification-history foundation; preserve legacy Operator facts without inventing recipient receipts.,C-A C-L notice-recipient-wire,Independent exact-source Sol review; runtime remains T025.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T016B,US3,US3,False,A,Retained GPT-6 Luna high T016 author,T016A,FR-005 FR-006 FR-009 FR-016,backend/ipam_demo/lifecycle.py;backend/ipam_demo/workflow.py,"Per-version recipient binding, explicit renewal, recipient-only in-app receipt and historical exact-version recovery under current authority.",C-A C-L notice-recipient-wire,Independent exact-source Sol review; runtime remains T025.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T017A,US3,US3,False,A,Retained Opus5.5 high T017 author,T016B,FR-005 FR-006 FR-009 FR-016,backend/ipam_demo/app.py;backend/ipam_demo/models.py,"Configuration forwarding, strict notice notification/history DTOs and scoped immutable-version recovery endpoint.",C-A C-L notice-recipient-wire,Independent exact-source Sol review; runtime remains T025.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T018,US3,US3,True,A,Muse1.3 high in OpenCode,T015 T017A,FR-006 FR-008 FR-013 FR-019,frontend/src/Workflow.tsx;frontend/src/CapacityReports.tsx;frontend/src/workflowApi.ts,"Present alert/alarm, ack/resolution and current static versus saved DHCP with units/time/components; preserve safe child editing, unknown semantics and existing thresholds.",C-A C-L,"No invented IPv6 delegation, hijack attribution or health monitoring; same metric identity across views.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T019,US4,US4,True,A-documentary,Grok 4.6 under Grok 4.7,T002,FR-010 FR-012 FR-014 FR-016 FR-017 FR-018 FR-020 FR-022,specs/001-postmeeting-bridge/delivery/gaps-and-qualification.md,"Write evidence-based maturity/authority gaps and future HA/scale/encryption/virtual-network/EMS/DNS/IaC/fixed-workflow dispositions; human business-owner register, licensing continuity documentary only.",C-O qualification.md,"Each exclusion has owner/evidence boundary/future gate; numeric cohorts are assumptions, not source requirement replacements.","Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T020,US4,US4,True,A,Spencer under Luna coordination,T002,FR-004 FR-007 FR-009 FR-010 FR-011 FR-012 FR-021,specs/001-postmeeting-bridge/delivery/integration-matrix.md,"Day1 two-hour finish: inventory every integration RFP row, detailed selected local API/assessment/ticket contracts, mode/authority/owner/evidence/unknown vendor fields.",C-A C-M C-L C-T C-O,All integration clauses classified; no guessed endpoint or simulated-as-live entry.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T021,US4,US4,False,A,Grok 4.7 requirements/integration sublead,T009 T014 T017A T020,FR-009 FR-015 FR-019,specs/001-postmeeting-bridge/delivery/offline-api.md,Pin offline API to candidate with auth/domain/errors/reviewed versions/replay/raw-versus-projection/simulation examples; reuse authenticated interactive reference.,C-A C-M C-L C-T,Source-accurate examples distinguish illustrative from observed; no secret/vendor invention.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T022,US4,US4,True,A,Spencer under Luna coordination,T010 T015 T020 T017A,FR-002 FR-014 FR-021,specs/001-postmeeting-bridge/delivery/recipient-validation.md;specs/001-postmeeting-bridge/delivery/configuration-example.json,"Day2 two-hour finish: one recipient prerequisites/config template, migration reconciliation/counts/signoff/cancel boundary, separate operational compensation, actual acknowledgement fields.",C-M C-O,One Linux amd64 target declared or explicitly unavailable; no fabricated signoff/cutover.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
T023,US4,US4,False,A,Muse1.3 high in OpenCode,T003 T017A,FR-005 FR-016 FR-021,backend/ipam_demo/state_ops.py;backend/ipam_demo/__main__.py,"Integrate current schema7 stopped backup/restore/readiness and supply protected configuration/application contract to Spencer; preserve one worker and global evidence coordinator boundary. No implicit migration/reseed; no packaging edits in core. Preserve historical revision references; record changed-configuration recovery distinctly, apply normal staleness, and require all six C-A readiness booleans plus separate business-state evidence.",C-A C-O,Supported history survives recognized state operations; code/UI/config/secrets not assumed in snapshots.,"Retain exact candidate/config/schema/target, source or sanitized observed records proving the stated gate, failure cases and limitations. Source review is documentary; future runtime evidence requires authorization.","Lead authorization, adopted contracts, prerequisites complete and file lease/worker slot free; runtime observations need separate explicit validation authority.","Future assignment, not performed by this planning task; no inferred runtime, human, corporate or production acceptance.","Immediately surface authority/history/contract/ownership risk; otherwise 45 minutes without a defensible path. Terra replaces blocked implementation leaf with Sol; Grok 4.7 reviews integration, Main Lead decides scope.","READY FOR PROJECT-LEAD REVIEW — Stage N (lead assigns N): task ID, exact SHA/PR, owned diff, evidence/gaps/non-claims and draft next prompt."
